train_name,train_number,runs_on,erode_departure,karur_arrival,karur_departure,tiruchirappalli_arrival
Madurai Weekly SF Express,20481,"Sunday",14:10,16:00,16:02,17:30
Cuddalore Port Express,16232,"Daily",00:50,01:58,02:00,03:08
Chemmozhi Express,16616,"Daily",02:05,03:03,03:05,04:50
Puducherry Express,16858,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",02:15,03:23,03:25,05:45
Karaikal Express,16853,"Daily",06:10,07:08,07:10,08:45
Da-Gama-Velankanni Weekly Express,17315,"Friday",12:20,13:25,13:27,15:05
Erode - Tiruchchirappalli Passenger,56810,"Daily",16:35,17:55,18:00,20:50
Mayiladuthurai Jan Shatabdi Express,12084,"Daily",07:15,08:18,08:20,09:40
Tiruchchirappalli Express,16811,"Daily",09:00,10:05,10:07,11:20
Chennai Egmore Express,16160,"Daily",18:05,19:08,19:10,21:55
Rameshwaram Express,16618,"Sunday",21:15,22:18,22:20,00:40
