Train Name,Train Number,Departure,Arrival,Days
Nagercoil Express,16339,00:50,02:35,Daily
Madurai Weekly Superfast Express,22715,01:00,03:35,Daily
Kanniyakumari SF Express,12689,01:45,04:37,Daily
CNB MDU SPECIAL,01925,02:32,04:50,Daily
Tirunelveli SF Express,22629,02:35,04:52,Daily
Palakkad Jn. SF Express,22651,04:20,05:30,Daily
Bodinayakkanur SF Express,20601,04:35,05:47,Daily
Tirunelveli Chalakya Express,11021,05:20,06:50,Daily
Nagercoil Weekly Express,16353,10:15,13:45,Daily
Tirunelveli Express,16788,10:30,13:45,Daily
Madurai SF Express,20494,11:10,12:12,Daily
Nagercoil Express,16322,11:25,13:25,Daily
Okha - Rameswaram Express,16734,13:10,14:25,Daily
Erode - Sengottai Express,16845,15:05,16:42,Daily
Madurai Vande Bharat Express,20672,17:50,20:20,Daily
Tuticorin Vivek Express,19568,20:00,21:10,Daily
MAS-MDU TOD SPL,06153,23:20,03:15,Daily
Nagercoil Express,17235,23:40,01:17,Daily
