train_name,train_number,runs_on,salem_departure,namakkal_arrival,namakkal_departure,karur_arrival
Kanniyakumari SF Express,12690,"Daily",00:10,00:04,00:05,00:28
CNB MDU SPL,01927,"Wednesday",01:10,01:50,01:52,02:30
Palakkad Jn SF Express,22651,"Daily",02:40,03:34,03:35,04:18
Bodinayakkanur SF Express,20601,"Tuesday, Thursday, Saturday",03:05,04:07,04:09,04:38
Thirunelveli Chalukya Express,11021,"Sunday",06:05,07:00,07:02,07:35
Salem - Karur Passenger,76823,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",18:00,18:49,18:50,19:45
Nagercoil Weekly Express,16321,"Wednesday",09:25,10:20,10:22,11:00
Okha Rameshwaram Express,16734,"Sunday",12:05,13:00,13:02,13:40
Mayiladuthurai MEMU Express,06835,"Daily",16:15,17:10,17:12,17:50
Madurai Vande Bharat Express,20672,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",08:15,08:53,08:55,09:28
Thiruchchirappalli Humsafar Express,20493,"Friday",21:05,21:55,21:57,22:30
UBL RMM EXP,16527,"Monday",22:15,23:10,23:12,23:50
Nagercoil Express,17235,"Daily",22:05,23:01,23:03,23:38
